node_1	node_2	node_1_type	node_2_type	node_1_name	node_2_name
107	155971	protein	protein	ADCY1	env
108	155971	protein	protein	ADCY2	env
109	155971	protein	protein	ADCY3	env
111	155971	protein	protein	ADCY5	env
112	155971	protein	protein	ADCY6	env
113	155971	protein	protein	ADCY7	env
114	155971	protein	protein	ADCY8	env
115	155971	protein	protein	ADCY9	env
196883	155971	protein	protein	ADCY4	env
107	155971	protein	protein	ADCY1	env
108	155971	protein	protein	ADCY2	env
109	155971	protein	protein	ADCY3	env
111	155971	protein	protein	ADCY5	env
112	155971	protein	protein	ADCY6	env
113	155971	protein	protein	ADCY7	env
114	155971	protein	protein	ADCY8	env
115	155971	protein	protein	ADCY9	env
196883	155971	protein	protein	ADCY4	env
107	156110	protein	protein	ADCY1	nef
108	156110	protein	protein	ADCY2	nef
109	156110	protein	protein	ADCY3	nef
111	156110	protein	protein	ADCY5	nef
112	156110	protein	protein	ADCY6	nef
113	156110	protein	protein	ADCY7	nef
114	156110	protein	protein	ADCY8	nef
115	156110	protein	protein	ADCY9	nef
196883	156110	protein	protein	ADCY4	nef
107	155871	protein	protein	ADCY1	tat
108	155871	protein	protein	ADCY2	tat
109	155871	protein	protein	ADCY3	tat
111	155871	protein	protein	ADCY5	tat
112	155871	protein	protein	ADCY6	tat
113	155871	protein	protein	ADCY7	tat
114	155871	protein	protein	ADCY8	tat
115	155871	protein	protein	ADCY9	tat
196883	155871	protein	protein	ADCY4	tat
5566	155971	protein	protein	PRKACA	env
5578	155971	protein	protein	PRKCA	env
5578	155971	protein	protein	PRKCA	env
5578	155971	protein	protein	PRKCA	env
5578	155971	protein	protein	PRKCA	env
5566	155030	protein	protein	PRKACA	gag
5578	155030	protein	protein	PRKCA	gag
5566	156110	protein	protein	PRKACA	nef
5578	156110	protein	protein	PRKCA	nef
5578	156110	protein	protein	PRKCA	nef
5566	155871	protein	protein	PRKACA	tat
5578	155871	protein	protein	PRKCA	tat
1457	155030	protein	protein	CSNK2A1	gag
1460	155030	protein	protein	CSNK2B	gag
5578	155030	protein	protein	PRKCA	gag
1457	155348	protein	protein	CSNK2A1	gag-pol
1460	155348	protein	protein	CSNK2B	gag-pol
5578	155348	protein	protein	PRKCA	gag-pol
1457	155908	protein	protein	CSNK2A1	rev
1457	155908	protein	protein	CSNK2A1	rev
1460	155908	protein	protein	CSNK2B	rev
1460	155908	protein	protein	CSNK2B	rev
5578	155908	protein	protein	PRKCA	rev
5566	155971	protein	protein	PRKACA	env
5567	155971	protein	protein	PRKACB	env
5568	155971	protein	protein	PRKACG	env
5573	155971	protein	protein	PRKAR1A	env
5576	155971	protein	protein	PRKAR2A	env
5566	155971	protein	protein	PRKACA	env
5567	155971	protein	protein	PRKACB	env
5568	155971	protein	protein	PRKACG	env
5573	155971	protein	protein	PRKAR1A	env
5576	155971	protein	protein	PRKAR2A	env
5566	155030	protein	protein	PRKACA	gag
5567	155030	protein	protein	PRKACB	gag
5568	155030	protein	protein	PRKACG	gag
5573	155030	protein	protein	PRKAR1A	gag
5576	155030	protein	protein	PRKAR2A	gag
5566	155030	protein	protein	PRKACA	gag
5567	155030	protein	protein	PRKACB	gag
5568	155030	protein	protein	PRKACG	gag
5573	155030	protein	protein	PRKAR1A	gag
5576	155030	protein	protein	PRKAR2A	gag
5566	155871	protein	protein	PRKACA	tat
5567	155871	protein	protein	PRKACB	tat
5568	155871	protein	protein	PRKACG	tat
5573	155871	protein	protein	PRKAR1A	tat
5576	155871	protein	protein	PRKAR2A	tat
5566	155030	protein	protein	PRKACA	gag
5567	155030	protein	protein	PRKACB	gag
5568	155030	protein	protein	PRKACG	gag
5566	155971	protein	protein	PRKACA	env
5567	155971	protein	protein	PRKACB	env
5568	155971	protein	protein	PRKACG	env
5566	155971	protein	protein	PRKACA	env
5567	155971	protein	protein	PRKACB	env
5568	155971	protein	protein	PRKACG	env
5566	155030	protein	protein	PRKACA	gag
5567	155030	protein	protein	PRKACB	gag
5568	155030	protein	protein	PRKACG	gag
5566	155030	protein	protein	PRKACA	gag
5567	155030	protein	protein	PRKACB	gag
5568	155030	protein	protein	PRKACG	gag
5566	155871	protein	protein	PRKACA	tat
5567	155871	protein	protein	PRKACB	tat
5568	155871	protein	protein	PRKACG	tat
1457	155030	protein	protein	CSNK2A1	gag
1459	155030	protein	protein	CSNK2A2	gag
1460	155030	protein	protein	CSNK2B	gag
1457	155348	protein	protein	CSNK2A1	gag-pol
1459	155348	protein	protein	CSNK2A2	gag-pol
1460	155348	protein	protein	CSNK2B	gag-pol
1457	155908	protein	protein	CSNK2A1	rev
1459	155908	protein	protein	CSNK2A2	rev
1460	155908	protein	protein	CSNK2B	rev
1457	155908	protein	protein	CSNK2A1	rev
1459	155908	protein	protein	CSNK2A2	rev
1460	155908	protein	protein	CSNK2B	rev
1457	155908	protein	protein	CSNK2A1	rev
1459	155908	protein	protein	CSNK2A2	rev
1460	155908	protein	protein	CSNK2B	rev
1457	155908	protein	protein	CSNK2A1	rev
1457	155908	protein	protein	CSNK2A1	rev
1459	155908	protein	protein	CSNK2A2	rev
1459	155908	protein	protein	CSNK2A2	rev
1460	155908	protein	protein	CSNK2B	rev
1460	155908	protein	protein	CSNK2B	rev
1457	155945	protein	protein	CSNK2A1	vpu
1457	155945	protein	protein	CSNK2A1	vpu
1459	155945	protein	protein	CSNK2A2	vpu
1459	155945	protein	protein	CSNK2A2	vpu
1460	155945	protein	protein	CSNK2B	vpu
1460	155945	protein	protein	CSNK2B	vpu
1460	155945	protein	protein	CSNK2B	vpu
1457	155030	protein	protein	CSNK2A1	gag
1460	155030	protein	protein	CSNK2B	gag
1457	155348	protein	protein	CSNK2A1	gag-pol
1460	155348	protein	protein	CSNK2B	gag-pol
1457	155348	protein	protein	CSNK2A1	gag-pol
1460	155348	protein	protein	CSNK2B	gag-pol
1457	155348	protein	protein	CSNK2A1	gag-pol
1460	155348	protein	protein	CSNK2B	gag-pol
1457	155908	protein	protein	CSNK2A1	rev
1460	155908	protein	protein	CSNK2B	rev
1457	155908	protein	protein	CSNK2A1	rev
1460	155908	protein	protein	CSNK2B	rev
1457	155908	protein	protein	CSNK2A1	rev
1460	155908	protein	protein	CSNK2B	rev
1457	155908	protein	protein	CSNK2A1	rev
1457	155908	protein	protein	CSNK2A1	rev
1460	155908	protein	protein	CSNK2B	rev
1460	155908	protein	protein	CSNK2B	rev
1457	155945	protein	protein	CSNK2A1	vpu
1457	155945	protein	protein	CSNK2A1	vpu
1460	155945	protein	protein	CSNK2B	vpu
1460	155945	protein	protein	CSNK2B	vpu
1460	155945	protein	protein	CSNK2B	vpu
163	155030	protein	protein	AP2B1	gag
3105	155030	protein	protein	HLA-A	gag
163	156110	protein	protein	AP2B1	nef
3105	156110	protein	protein	HLA-A	nef
3105	156110	protein	protein	HLA-A	nef
3105	156110	protein	protein	HLA-A	nef
163	156110	protein	protein	AP2B1	nef
163	156110	protein	protein	AP2B1	nef
3105	156110	protein	protein	HLA-A	nef
164	155971	protein	protein	AP1G1	env
164	155971	protein	protein	AP1G1	env
1174	155971	protein	protein	AP1S1	env
1174	155971	protein	protein	AP1S1	env
8905	155971	protein	protein	AP1S2	env
8905	155971	protein	protein	AP1S2	env
8906	155971	protein	protein	AP1G2	env
8906	155971	protein	protein	AP1G2	env
8907	155971	protein	protein	AP1M1	env
8907	155971	protein	protein	AP1M1	env
8907	155971	protein	protein	AP1M1	env
164	156110	protein	protein	AP1G1	nef
1174	156110	protein	protein	AP1S1	nef
8905	156110	protein	protein	AP1S2	nef
8906	156110	protein	protein	AP1G2	nef
8907	156110	protein	protein	AP1M1	nef
164	156110	protein	protein	AP1G1	nef
1174	156110	protein	protein	AP1S1	nef
8905	156110	protein	protein	AP1S2	nef
8906	156110	protein	protein	AP1G2	nef
8907	156110	protein	protein	AP1M1	nef
162	156110	protein	protein	AP1B1	nef
1174	156110	protein	protein	AP1S1	nef
8905	156110	protein	protein	AP1S2	nef
8906	156110	protein	protein	AP1G2	nef
8907	156110	protein	protein	AP1M1	nef
130340	156110	protein	protein	AP1S3	nef
162	156110	protein	protein	AP1B1	nef
1174	156110	protein	protein	AP1S1	nef
8905	156110	protein	protein	AP1S2	nef
8906	156110	protein	protein	AP1G2	nef
8907	156110	protein	protein	AP1M1	nef
8907	156110	protein	protein	AP1M1	nef
8907	156110	protein	protein	AP1M1	nef
130340	156110	protein	protein	AP1S3	nef
162	156110	protein	protein	AP1B1	nef
1174	156110	protein	protein	AP1S1	nef
8905	156110	protein	protein	AP1S2	nef
8906	156110	protein	protein	AP1G2	nef
8907	156110	protein	protein	AP1M1	nef
130340	156110	protein	protein	AP1S3	nef
1174	155971	protein	protein	AP1S1	env
1174	155971	protein	protein	AP1S1	env
8905	155971	protein	protein	AP1S2	env
8905	155971	protein	protein	AP1S2	env
8906	155971	protein	protein	AP1G2	env
8906	155971	protein	protein	AP1G2	env
8907	155971	protein	protein	AP1M1	env
8907	155971	protein	protein	AP1M1	env
8907	155971	protein	protein	AP1M1	env
1174	156110	protein	protein	AP1S1	nef
8905	156110	protein	protein	AP1S2	nef
8906	156110	protein	protein	AP1G2	nef
8907	156110	protein	protein	AP1M1	nef
1174	156110	protein	protein	AP1S1	nef
8905	156110	protein	protein	AP1S2	nef
8906	156110	protein	protein	AP1G2	nef
8907	156110	protein	protein	AP1M1	nef
8907	156110	protein	protein	AP1M1	nef
8907	156110	protein	protein	AP1M1	nef
1174	156110	protein	protein	AP1S1	nef
8905	156110	protein	protein	AP1S2	nef
8906	156110	protein	protein	AP1G2	nef
8907	156110	protein	protein	AP1M1	nef
712	155971	protein	protein	C1QA	env
713	155971	protein	protein	C1QB	env
714	155971	protein	protein	C1QC	env
712	155971	protein	protein	C1QA	env
713	155971	protein	protein	C1QB	env
714	155971	protein	protein	C1QC	env
712	155971	protein	protein	C1QA	env
712	155971	protein	protein	C1QA	env
713	155971	protein	protein	C1QB	env
713	155971	protein	protein	C1QB	env
714	155971	protein	protein	C1QC	env
714	155971	protein	protein	C1QC	env
712	155971	protein	protein	C1QA	env
713	155971	protein	protein	C1QB	env
714	155971	protein	protein	C1QC	env
3439	155971	protein	protein	IFNA1	env
3458	155971	protein	protein	IFNG	env
3458	155971	protein	protein	IFNG	env
3439	155971	protein	protein	IFNA1	env
3458	155971	protein	protein	IFNG	env
3439	155971	protein	protein	IFNA1	env
3439	155971	protein	protein	IFNA1	env
3439	155971	protein	protein	IFNA1	env
3458	155971	protein	protein	IFNG	env
3458	155971	protein	protein	IFNG	env
3439	155971	protein	protein	IFNA1	env
3458	155971	protein	protein	IFNG	env
3439	155871	protein	protein	IFNA1	tat
3458	155871	protein	protein	IFNG	tat
3439	155871	protein	protein	IFNA1	tat
3458	155871	protein	protein	IFNG	tat
3458	155871	protein	protein	IFNG	tat
3458	155871	protein	protein	IFNG	tat
3439	155871	protein	protein	IFNA1	tat
3458	155871	protein	protein	IFNG	tat
596	155971	protein	protein	BCL2	env
596	155971	protein	protein	BCL2	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
3458	155971	protein	protein	IFNG	env
3458	155971	protein	protein	IFNG	env
3558	155971	protein	protein	IL2	env
3558	155971	protein	protein	IL2	env
3558	155971	protein	protein	IL2	env
596	155971	protein	protein	BCL2	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
3458	155971	protein	protein	IFNG	env
3558	155971	protein	protein	IL2	env
596	156110	protein	protein	BCL2	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
3458	156110	protein	protein	IFNG	nef
3558	156110	protein	protein	IL2	nef
596	155871	protein	protein	BCL2	tat
920	155871	protein	protein	CD4	tat
3458	155871	protein	protein	IFNG	tat
3558	155871	protein	protein	IL2	tat
596	155807	protein	protein	BCL2	vpr
920	155807	protein	protein	CD4	vpr
3458	155807	protein	protein	IFNG	vpr
3558	155807	protein	protein	IL2	vpr
920	155971	protein	protein	CD4	env
940	155971	protein	protein	CD28	env
3458	155971	protein	protein	IFNG	env
3458	155971	protein	protein	IFNG	env
3558	155971	protein	protein	IL2	env
3558	155971	protein	protein	IL2	env
4790	155971	protein	protein	NFKB1	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
940	155971	protein	protein	CD28	env
3458	155971	protein	protein	IFNG	env
3458	155971	protein	protein	IFNG	env
3458	155971	protein	protein	IFNG	env
3558	155971	protein	protein	IL2	env
4790	155971	protein	protein	NFKB1	env
4790	155971	protein	protein	NFKB1	env
4790	155971	protein	protein	NFKB1	env
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
940	156110	protein	protein	CD28	nef
940	156110	protein	protein	CD28	nef
940	156110	protein	protein	CD28	nef
940	156110	protein	protein	CD28	nef
3458	156110	protein	protein	IFNG	nef
3558	156110	protein	protein	IL2	nef
4790	156110	protein	protein	NFKB1	nef
920	155807	protein	protein	CD4	vpr
940	155807	protein	protein	CD28	vpr
3458	155807	protein	protein	IFNG	vpr
3558	155807	protein	protein	IL2	vpr
4790	155807	protein	protein	NFKB1	vpr
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
940	155971	protein	protein	CD28	env
3458	155971	protein	protein	IFNG	env
3558	155971	protein	protein	IL2	env
3558	155971	protein	protein	IL2	env
920	155971	protein	protein	CD4	env
940	155971	protein	protein	CD28	env
3458	155971	protein	protein	IFNG	env
3458	155971	protein	protein	IFNG	env
3558	155971	protein	protein	IL2	env
3558	155971	protein	protein	IL2	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
940	155971	protein	protein	CD28	env
3458	155971	protein	protein	IFNG	env
3458	155971	protein	protein	IFNG	env
3458	155971	protein	protein	IFNG	env
3558	155971	protein	protein	IL2	env
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
940	156110	protein	protein	CD28	nef
940	156110	protein	protein	CD28	nef
940	156110	protein	protein	CD28	nef
940	156110	protein	protein	CD28	nef
3458	156110	protein	protein	IFNG	nef
3558	156110	protein	protein	IL2	nef
920	155807	protein	protein	CD4	vpr
940	155807	protein	protein	CD28	vpr
3458	155807	protein	protein	IFNG	vpr
3558	155807	protein	protein	IL2	vpr
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
3458	155971	protein	protein	IFNG	env
3458	155971	protein	protein	IFNG	env
3558	155971	protein	protein	IL2	env
3558	155971	protein	protein	IL2	env
3558	155971	protein	protein	IL2	env
7124	155971	protein	protein	TNF	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
3458	155971	protein	protein	IFNG	env
3458	155971	protein	protein	IFNG	env
3458	155971	protein	protein	IFNG	env
3558	155971	protein	protein	IL2	env
7124	155971	protein	protein	TNF	env
7124	155971	protein	protein	TNF	env
7124	155971	protein	protein	TNF	env
7124	155971	protein	protein	TNF	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
3458	155971	protein	protein	IFNG	env
3558	155971	protein	protein	IL2	env
7124	155971	protein	protein	TNF	env
7124	155971	protein	protein	TNF	env
920	155871	protein	protein	CD4	tat
3458	155871	protein	protein	IFNG	tat
3558	155871	protein	protein	IL2	tat
7124	155871	protein	protein	TNF	tat
7124	155871	protein	protein	TNF	tat
7124	155871	protein	protein	TNF	tat
7124	155871	protein	protein	TNF	tat
7124	155871	protein	protein	TNF	tat
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
3458	155971	protein	protein	IFNG	env
3458	155971	protein	protein	IFNG	env
3558	155971	protein	protein	IL2	env
3558	155971	protein	protein	IL2	env
3558	155971	protein	protein	IL2	env
6348	155971	protein	protein	CCL3	env
6351	155971	protein	protein	CCL4	env
920	155971	protein	protein	CD4	env
3458	155971	protein	protein	IFNG	env
3458	155971	protein	protein	IFNG	env
3558	155971	protein	protein	IL2	env
3558	155971	protein	protein	IL2	env
6348	155971	protein	protein	CCL3	env
6348	155971	protein	protein	CCL3	env
6351	155971	protein	protein	CCL4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
3458	155971	protein	protein	IFNG	env
3458	155971	protein	protein	IFNG	env
3458	155971	protein	protein	IFNG	env
3558	155971	protein	protein	IL2	env
6348	155971	protein	protein	CCL3	env
6348	155971	protein	protein	CCL3	env
6348	155971	protein	protein	CCL3	env
6351	155971	protein	protein	CCL4	env
6351	155971	protein	protein	CCL4	env
920	155871	protein	protein	CD4	tat
3458	155871	protein	protein	IFNG	tat
3558	155871	protein	protein	IL2	tat
6348	155871	protein	protein	CCL3	tat
6351	155871	protein	protein	CCL4	tat
920	155807	protein	protein	CD4	vpr
3458	155807	protein	protein	IFNG	vpr
3558	155807	protein	protein	IL2	vpr
6348	155807	protein	protein	CCL3	vpr
6351	155807	protein	protein	CCL4	vpr
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
3458	155971	protein	protein	IFNG	env
3458	155971	protein	protein	IFNG	env
3558	155971	protein	protein	IL2	env
3558	155971	protein	protein	IL2	env
3558	155971	protein	protein	IL2	env
6351	155971	protein	protein	CCL4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
3458	155971	protein	protein	IFNG	env
3558	155971	protein	protein	IL2	env
3558	155971	protein	protein	IL2	env
6351	155971	protein	protein	CCL4	env
920	155971	protein	protein	CD4	env
3458	155971	protein	protein	IFNG	env
3458	155971	protein	protein	IFNG	env
3558	155971	protein	protein	IL2	env
3558	155971	protein	protein	IL2	env
6351	155971	protein	protein	CCL4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
3458	155971	protein	protein	IFNG	env
3458	155971	protein	protein	IFNG	env
3458	155971	protein	protein	IFNG	env
3558	155971	protein	protein	IL2	env
6351	155971	protein	protein	CCL4	env
6351	155971	protein	protein	CCL4	env
920	155871	protein	protein	CD4	tat
3458	155871	protein	protein	IFNG	tat
3558	155871	protein	protein	IL2	tat
6351	155871	protein	protein	CCL4	tat
920	155807	protein	protein	CD4	vpr
3458	155807	protein	protein	IFNG	vpr
3558	155807	protein	protein	IL2	vpr
6351	155807	protein	protein	CCL4	vpr
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
1234	155971	protein	protein	CCR5	env
3458	155971	protein	protein	IFNG	env
3458	155971	protein	protein	IFNG	env
3558	155971	protein	protein	IL2	env
3558	155971	protein	protein	IL2	env
3558	155971	protein	protein	IL2	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
920	155971	protein	protein	CD4	env
1234	155971	protein	protein	CCR5	env
3458	155971	protein	protein	IFNG	env
3458	155971	protein	protein	IFNG	env
3558	155971	protein	protein	IL2	env
3558	155971	protein	protein	IL2	env
7852	155971	protein	protein	CXCR4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
