	nsc	conclusion	cid
8937	349810	CI	336240
8938	349812	CI	336242
8939	349813	CI	336243
8940	349814	CI	336244
8941	349830	CI	434409
8942	349833	CI	336249
8943	349918	CI	336277
8944	349946	CI	434411
8945	349962	CI	336298
8946	349963	CI	336299
8947	350009	CI	155675
8948	350071	CI	3003952
8949	350080	CI	336322
8950	350082	CI	336324
8951	350085	CI	336327
8952	350102	CI	72564
8953	350163	CI	336374
8954	350187	CI	336378
8955	350188	CI	100703
8956	350191	CI	100160
8957	350259	CI	336382
8958	350260	CI	336383
8959	350261	CI	336384
8960	350364	CI	336390
8961	350379	CI	336391
8962	350380	CI	336392
8963	350381	CM	336393
8964	350545	CI	12793966
8965	350546	CI	54686502
8966	350547	CI	54686503
8967	350598	CI	3819935
8968	350607	CI	5897625
8969	350621	CI	434442
8970	350629	CI	336424
8971	350993	CI	336449
8972	351066	CI	5384630
8973	351074	CI	44383448
8974	351075	CI	44383484
8975	351094	CI	336474
8976	351095	CI	336475
8977	351105	CI	336482
8978	351122	CI	336493
8979	351149	CI	216228
8980	351164	CI	336506
8981	351165	CI	336507
8982	351171	CI	336511
8983	351286	CI	24199940
8984	351289	CI	336541
8985	351332	CI	336567
8986	351372	CI	494268
8987	351373	CI	494269
8988	351519	CI	54607772
8989	351520	CI	336607
8990	351522	CI	40821
8991	351742	CI	336713
8992	351885	CI	24199973
8993	351907	CM	4016
8994	351962	CI	336759
8995	352116	CI	336804
8996	352122	CI	336805
8997	352277	CI	120712
8998	352292	CI	316036
8999	352298	CI	336828
9000	352330	CI	336831
9001	352376	CM	331550
9002	352521	CI	28143
9003	352522	CI	178131
9004	352692	CI	336858
9005	352741	CI	3003953
9006	352876	CI	336892
9007	352884	CI	135406294
9008	352888	CI	4612
9009	352890	CI	5351324
9010	353056	CI	135448994
9011	353074	CI	336903
9012	353075	CI	336904
9013	353091	CI	336907
9014	353092	CI	336908
9015	353096	CI	336912
9016	353098	CI	5464848
9017	353123	CI	1549591
9018	353128	CI	336931
9019	353263	CI	336937
9020	353451	CI	71766
9021	353452	CI	336987
9022	353453	CI	336988
9023	353492	CI	337010
9024	353494	CI	337012
9025	353527	CI	135502336
9026	353639	CI	337026
9027	353646	CI	337028
9028	353648	CI	337030
9029	353671	CI	135493734
9030	353675	CI	337055
9031	353676	CI	337056
9032	353679	CI	337059
9033	353731	CI	337089
9034	353740	CI	16683510
9035	353743	CI	16683123
9036	353845	CI	337102
9037	353846	CI	337103
9038	353871	CI	16683514
9039	353872	CI	337107
9040	353896	CI	3000691
9041	353901	CI	337123
9042	353902	CI	337124
9043	353903	CI	337125
9044	353905	CI	337127
9045	353906	CI	337128
9046	353907	CI	337129
9047	353909	CI	337131
9048	354049	CI	5477755
9049	354056	CI	54600655
9050	354057	CI	337132
9051	354058	CI	337133
9052	354082	CI	337136
9053	354208	CI	337143
9054	354209	CI	337144
9055	354210	CI	337145
9056	354211	CI	337146
9057	354212	CI	337147
9058	354213	CI	337148
9059	354214	CI	337149
9060	354215	CM	337150
9061	354223	CI	337158
9062	354284	CI	337186
9063	354310	CI	337211
9064	354314	CI	337215
9065	354316	CI	337217
9066	354462	CI	5477775
9067	354463	CI	337257
9068	354491	CM	337262
9069	354492	CM	337263
9070	354646	CI	24200030
9071	354647	CI	54607733
9072	354657	CI	337281
9073	354669	CI	5368726
9074	354670	CI	5464850
9075	354671	CI	5464851
9076	354673	CI	434687
9077	354675	CI	337292
9078	354676	CI	337293
9079	354677	CI	337294
9080	354683	CI	3003957
9081	354852	CI	337315
9082	354855	CI	166535
9083	354974	CI	100173
9084	355080	CI	5281033
9085	355082	CI	337359
9086	355083	CI	30860
9087	355139	CI	337368
9088	355140	CI	337369
9089	355141	CI	337370
9090	355147	CI	434709
9091	355153	CI	337380
9092	355161	CI	337388
9093	355169	CI	337392
9094	355170	CI	337393
9095	355172	CI	337395
9096	355184	CI	337396
9097	355186	CI	337398
9098	355187	CI	337399
9099	355188	CI	135413500
9100	355256	CI	434718
9101	355276	CI	337410
9102	355278	CI	31475
9103	355341	CI	337414
9104	355342	CI	337415
9105	355344	CI	337417
9106	355349	CI	337422
9107	355357	CI	337428
9108	355368	CI	337435
9109	355450	CI	100175
9110	355457	CI	130333
9111	355506	CI	337499
9112	355637	CI	55498
9113	355639	CI	100732
9114	355644	CI	434731
9115	355705	CI	337507
9116	355706	CI	337508
9117	355707	CI	337509
9118	355839	CI	5384710
9119	355926	CI	54688358
9120	355928	CI	337515
9121	355932	CI	337518
9122	355936	CI	337522
9123	355941	CI	337524
9124	355952	CI	337532
9125	355953	CI	337533
9126	355954	CI	337534
9127	355955	CI	337535
9128	356022	CM	6087454
9129	356027	CI	5702657
9130	356028	CI	54611091
9131	356035	CI	2786364
9132	356041	CI	54607754
9133	356100	CI	337549
9134	356101	CI	337550
9135	356102	CI	337551
9136	356123	CI	337569
9137	356124	CI	337570
9138	356125	CI	337571
9139	356127	CI	337573
9140	356128	CI	5464852
9141	356200	CI	16683517
9142	356207	CI	135488940
9143	356239	CI	135429898
9144	356240	CI	337610
9145	356352	CI	337622
9146	356359	CI	337631
9147	356374	CI	9574350
9148	356376	CI	5464853
9149	356697	CI	337725
9150	356707	CI	337728
9151	356708	CI	337729
9152	356716	CI	33770
9153	356718	CI	5384729
9154	356768	CI	337731
9155	356769	CI	337732
9156	356771	CI	6080924
9157	356772	CI	6273777
9158	356790	CI	337752
9159	356826	CI	182148
9160	356827	CI	337776
9161	356828	CI	5281254
9162	356887	CI	5776876
9163	356894	CI	24838593
9164	356908	CI	461333
9165	356909	CI	337789
9166	357114	CI	23724975
9167	357507	CI	337820
9168	357571	CI	5384736
9169	357572	CI	494279
9170	357574	CI	337828
9171	357582	CI	337836
9172	357597	CI	24200092
9173	357681	CI	24200093
9174	357683	CI	434786
9175	357687	CI	131297
9176	357688	CI	337851
9177	357689	CI	337852
9178	357704	CI	337854
9179	357705	CI	155446
9180	357774	CI	135502359
9181	357828	CI	54600683
9182	357915	CI	337902
9183	357935	CI	337906
9184	358121	CI	337916
9185	358123	CM	337918
9186	358287	CI	54607704
9187	358288	CI	6400277
9188	358482	CI	68905
9189	358483	CI	12869139
9190	358533	CI	338020
9191	358663	CI	338025
9192	358676	CI	338029
9193	358677	CI	338030
9194	358678	CI	338031
9195	358737	CI	338036
9196	358741	CI	338039
9197	358742	CI	338040
9198	358763	CI	338059
9199	358765	CI	338061
9200	358766	CI	338062
9201	358767	CI	338063
9202	358768	CI	338064
9203	358874	CI	5384747
9204	358875	CI	338077
9205	358928	CI	54598700
9206	359094	CI	338113
9207	359095	CI	338114
9208	359098	CI	338117
9209	359099	CI	338118
9210	359110	CI	338125
9211	359266	CI	3003963
9212	359277	CI	12712844
9213	359291	CI	135406849
9214	359454	CI	6148974
9215	359673	CI	338211
9216	359674	CI	338212
9217	359675	CI	6078967
9218	359676	CI	338214
9219	359677	CI	54607727
9220	359678	CI	338217
9221	359701	CI	338232
9222	359702	CI	338233
9223	359850	CI	338258
9224	359892	CI	434882
9225	360221	CI	338326
9226	360239	CI	338334
9227	360292	CI	338336
9228	360373	CI	338368
9229	360374	CI	338369
9230	360375	CI	338370
9231	360376	CI	338371
9232	360377	CI	338372
9233	360378	CI	338373
9234	360379	CI	338374
9235	360507	CI	338392
9236	360516	CI	338399
9237	360517	CM	338400
9238	360698	CI	338439
9239	360859	CI	434931
9240	361123	CI	6400225
9241	361242	CI	338464
9242	361248	CI	9574818
9243	361455	CI	338506
9244	361456	CI	21115184
9245	361574	CI	338518
9246	361584	CI	338523
9247	361588	CI	338526
9248	361607	CI	54607755
9249	361651	CI	338557
9250	361667	CI	338565
9251	361668	CI	338566
9252	361671	CI	338569
9253	361672	CI	5771686
9254	361792	CI	434973
9255	361806	CI	338626
9256	361807	CI	338628
9257	361870	CI	338645
9258	361874	CI	338649
9259	361903	CI	24200178
9260	361904	CI	24200179
9261	361905	CI	24200178
9262	362023	CI	338675
9263	362069	CI	338678
9264	362070	CI	54702
9265	362071	CI	338679
9266	362093	CI	338688
9267	362133	CI	338698
9268	362409	CI	5914280
9269	362442	CI	338722
9270	362449	CI	100757
9271	362453	CI	100760
9272	362454	CI	100761
9273	362455	CI	100762
9274	362463	CI	338729
9275	362467	CI	338731
9276	362634	CI	338736
9277	362635	CI	338737
9278	362636	CI	338738
9279	362637	CI	338739
9280	362638	CI	338740
9281	362639	CI	338741
9282	362856	CI	5394
9283	362861	CI	338780
9284	363063	CI	9578791
9285	363064	CI	9578792
9286	363066	CI	54604684
9287	363067	CI	54607774
9288	363068	CI	54598717
9289	363072	CI	5464855
9290	363074	CI	54611098
9291	363143	CI	338856
9292	363144	CI	338857
9293	363182	CI	54724665
9294	363218	CI	338859
9295	363223	CI	338860
9296	363232	CI	338863
9297	363235	CI	435034
9298	363251	CI	24200208
9299	363255	CI	338878
9300	363257	CI	338880
9301	363258	CI	5384799
9302	363424	CI	460104
9303	363426	CI	338888
9304	363437	CI	338889
9305	363438	CI	100767
9306	363571	CI	338892
9307	363572	CI	338893
9308	363602	CI	338896
9309	363617	CI	3005565
9310	363787	CI	338942
9311	363801	CI	338945
9312	363802	CI	338946
9313	363803	CI	338947
9314	363804	CI	24200221
9315	363812	CI	430475
9316	363826	CI	338955
9317	363827	CI	338956
9318	363828	CI	338957
9319	363833	CI	338961
9320	363838	CI	338963
9321	363866	CI	338985
9322	363916	CI	3000988
9323	363934	CI	339030
9324	363935	CI	339031
9325	363938	CM	339032
9326	363952	CI	9554716
9327	363990	CI	339063
9328	363993	CI	339065
9329	363997	CI	54612250
9330	363998	CI	5351330
9331	364003	CI	339073
9332	364040	CI	339095
9333	364041	CI	339096
9334	364042	CI	339097
9335	364068	CI	24200249
9336	364093	CI	54607707
9337	364158	CI	339140
9338	364202	CI	435125
9339	364209	CI	339147
9340	364296	CA	54600608
9341	364297	CM	54607711
9342	364363	CI	100195
9343	364366	CI	135493758
9344	364368	CI	25863
9345	364369	CI	24744703
9346	364372	CI	5458861
9347	364373	CI	5477877
9348	364388	CI	133815
9349	364410	CI	339181
9350	364433	CI	nan
9351	364547	CI	435159
9352	364548	CI	435160
9353	364549	CI	435161
9354	364550	CI	435162
9355	364551	CI	339193
9356	364577	CI	9569415
9357	364578	CI	3003966
9358	364579	CI	5464858
9359	364634	CI	367303
9360	364720	CI	339212
9361	364758	CI	54601898
9362	364829	CI	135429899
9363	364830	CI	462186
9364	364953	CI	339193
9365	364989	CI	54612252
9366	365081	CI	339250
9367	365173	CM	54601566
9368	365336	CI	339283
9369	365354	CI	339291
9370	365360	CI	54611040
9371	365363	CI	339296
9372	365399	CI	135493762
9373	365400	CI	135484514
9374	365401	CI	135493763
9375	365415	CI	339318
9376	365417	CI	339320
9377	365443	CI	339335
9378	365455	CI	135429900
9379	365491	CI	339338
9380	365559	CI	339340
9381	365560	CI	339341
9382	365561	CI	9569417
9383	365630	CI	339356
9384	365793	CI	339385
9385	365798	CI	667639
9386	366078	CI	339411
9387	366109	CI	339431
9388	366134	CI	339453
9389	366140	CI	339454
9390	366236	CI	100782
9391	366249	CI	24200315
9392	366359	CI	339500
9393	366364	CI	100783
9394	366365	CI	339502
9395	366373	CI	9571214
9396	366374	CI	9571215
9397	366375	CI	9571216
9398	366376	CI	5464862
9399	366377	CI	5906861
9400	366378	CI	135429901
9401	366379	CI	5464865
9402	366380	CI	6049011
9403	366381	CI	5848704
9404	366382	CI	9571219
9405	366384	CI	435262
9406	366567	CI	461334
9407	366750	CI	339564
9408	366751	CI	339565
9409	366752	CI	135444423
9410	366796	CI	339568
9411	366809	CI	339580
9412	366810	CI	339581
9413	366878	CI	339585
9414	366881	CI	135502366
9415	367080	CI	75846
9416	367153	CI	12761729
9417	367154	CI	22220818
9418	367155	CI	12761726
9419	367156	CM	461846
9420	367260	CI	63630
9421	367322	CI	339689
9422	367323	CI	339690
9423	367324	CI	339691
9424	367415	CI	331036
9425	367416	CI	339701
9426	367428	CI	339703
9427	367447	CI	339704
9428	367448	CI	435309
9429	367488	CI	339744
9430	367595	CI	nan
9431	367596	CI	nan
9432	367613	CI	339770
9433	367614	CI	339771
9434	367631	CI	3003967
9435	367632	CI	3003968
9436	367981	CI	6373406
9437	368133	CI	339863
9438	368137	CI	339866
9439	368151	CI	5910162
9440	368173	CI	339879
9441	368257	CI	54695439
9442	368269	CI	339903
9443	368344	CI	339933
9444	368349	CI	339936
9445	368390	CI	23223059
9446	368652	CI	12840354
9447	368672	CI	5477925
9448	368675	CI	5380155
9449	368695	CI	5384873
9450	368697	CI	43854
9451	368713	CI	339957
9452	368736	CI	339962
9453	369000	CI	54611053
9454	369001	CI	22210421
9455	369002	CI	339966
9456	369058	CI	339976
9457	369059	CI	339977
9458	369060	CM	339978
9459	369061	CI	339979
9460	369062	CI	435381
9461	369063	CI	339980
9462	369069	CI	135493773
9463	369110	CI	340004
9464	369111	CI	340005
9465	369112	CI	340006
9466	369113	CI	12933920
9467	369116	CI	340008
9468	369117	CI	3003969
9469	369287	CI	72655
9470	369288	CI	100789
9471	369289	CI	100790
9472	369307	CI	340028
9473	369310	CI	340032
9474	369311	CI	54607884
9475	369312	CI	135493775
9476	369326	CI	5384875
9477	369327	CI	5384876
9478	369395	CI	190763
9479	369397	CI	2240
9480	369399	CI	340056
9481	369400	CI	6334075
9482	369402	CI	461779
9483	369421	CI	435397
9484	369423	CI	435400
9485	369424	CM	340058
9486	369693	CI	340092
9487	369745	CI	nan
9488	369761	CI	5477932
9489	369771	CI	340115
9490	369772	CI	340116
9491	369773	CI	5384883
9492	369774	CI	5384884
9493	369776	CI	340120
9494	369777	CI	340121
9495	369856	CI	5384886
9496	369857	CI	340127
9497	369870	CI	340132
9498	369886	CI	340138
9499	369982	CI	340143
9500	369983	CI	340144
9501	369984	CI	340145
9502	369987	CI	340148
9503	369990	CI	340150
9504	370150	CI	5917662
9505	370174	CI	5932680
9506	370277	CI	149131
9507	370284	CI	340208
9508	370339	CI	340213
9509	370342	CI	24200382
9510	370393	CI	494297
9511	370399	CI	340242
9512	370455	CI	340245
9513	370470	CM	340253
9514	370576	CI	9571220
9515	370578	CI	9571221
9516	370582	CI	9571222
9517	370588	CI	9555601
9518	370589	CI	9555602
9519	370590	CI	9555603
9520	370591	CI	9555604
9521	370592	CI	9571223
9522	370596	CI	9571224
9523	370597	CI	9571225
9524	370599	CI	6863913
9525	370613	CI	340297
9526	370656	CI	54600618
9527	370660	CI	340322
9528	370661	CI	340323
9529	370791	CI	340332
9530	370848	CI	340346
9531	370852	CI	340347
9532	370864	CI	340355
9533	370873	CI	340363
9534	370876	CI	340364
9535	370881	CI	340368
9536	370882	CI	340369
9537	370888	CI	340374
9538	370924	CI	340403
9539	370925	CI	340404
9540	370926	CI	340405
9541	370928	CI	340407
9542	371014	CI	340436
9543	371073	CI	340475
9544	371081	CI	11644155
9545	371124	CI	6078605
9546	371132	CI	340504
9547	371133	CI	340505
9548	371159	CI	5928141
9549	371163	CI	54612526
9550	371164	CI	54611164
9551	371165	CI	10156613
9552	371166	CI	10200709
9553	371168	CI	135493814
9554	371169	CI	10202939
9555	371170	CI	54604753
9556	371180	CI	5464869
9557	371181	CI	5464870
9558	371182	CI	9571227
9559	371183	CI	6309276
9560	371184	CI	5812182
9561	371185	CI	435507
9562	371186	CI	435508
9563	371187	CI	435509
9564	371188	CI	435510
9565	371189	CI	435511
9566	371190	CI	435512
9567	371192	CI	435514
9568	371193	CI	5930124
9569	371194	CI	5479869
9570	371296	CI	430210
9571	371451	CI	5929670
9572	371461	CM	435521
9573	371640	CI	135493825
9574	371660	CI	340639
9575	371661	CI	340640
9576	371662	CI	340641
9577	371681	CI	340660
9578	371688	CI	340667
9579	371703	CI	340682
9580	371717	CI	340694
9581	371727	CI	340704
9582	371770	CI	340713
9583	371793	CI	3003971
9584	371811	CI	340736
9585	371813	CI	5931398
9586	371815	CI	6283170
9587	371816	CI	340741
9588	371819	CI	340744
9589	371820	CI	340745
9590	371822	CI	340747
9591	371823	CI	340748
9592	371825	CI	340749
9593	371901	CI	340812
9594	371912	CI	340819
9595	371978	CI	135502378
9596	372000	CI	340839
9597	372003	CI	54611181
9598	372061	CM	3001005
9599	372106	CI	3003972
9600	372109	CI	127384
9601	372146	CI	340916
9602	372154	CI	135429903
9603	372155	CI	135429904
9604	372160	CI	54600622
9605	372162	CI	nan
9606	372201	CI	435559
9607	372208	CI	340932
9608	372216	CI	158138
9609	372220	CI	5477954
9610	372221	CI	100805
9611	372222	CI	340933
9612	372223	CI	340934
9613	372238	CI	24200409
9614	372239	CI	340936
9615	372240	CI	340937
9616	372241	CI	340938
9617	372282	CI	3485810
9618	372310	CI	340979
9619	372311	CI	340980
9620	372335	CI	340996
9621	372336	CI	340997
9622	372337	CI	340998
9623	372360	CI	341012
9624	372361	CI	341013
9625	372390	CI	341020
9626	372418	CI	341035
9627	372485	CI	84078
9628	372486	CI	341041
9629	372493	CI	341045
9630	372517	CI	341063
9631	372518	CI	341064
9632	372519	CI	100807
9633	372563	CI	3000989
9634	372564	CI	3000990
9635	372565	CI	5911960
9636	372566	CI	5936477
9637	372567	CI	5889575
9638	372568	CI	5916949
9639	372620	CI	341109
9640	372667	CI	135406300
9641	372683	CI	341151
9642	372779	CI	341165
9643	372783	CI	341169
9644	372787	CI	341170
9645	372800	CI	135491614
9646	372801	CI	135429905
9647	372872	CI	341211
9648	372875	CI	341213
9649	372920	CI	54677438
9650	372921	CI	54677094
9651	372922	CI	54695440
9652	372923	CI	54677775
9653	372924	CI	54680875
9654	373031	CI	341279
9655	373071	CI	341307
9656	373263	CI	5931684
9657	373433	CI	341390
9658	373436	CI	341393
9659	373478	CI	435647
9660	373479	CI	435648
9661	373480	CI	435649
9662	373481	CI	435650
9663	373482	CI	435651
9664	373483	CI	435652
9665	373484	CI	435653
9666	373489	CI	341402
9667	373530	CI	341422
9668	373531	CI	341423
9669	373532	CI	341424
9670	373533	CI	341425
9671	373534	CI	341426
9672	373535	CI	341427
9673	373536	CI	341428
9674	373541	CI	341431
9675	373597	CI	341454
9676	373598	CI	341455
9677	373599	CI	341456
9678	373600	CI	341457
9679	373753	CI	135438637
9680	373755	CI	341475
9681	373756	CI	341476
9682	373757	CI	341477
9683	373763	CI	341481
9684	373770	CI	341487
9685	373771	CI	341488
9686	373772	CI	341489
9687	373774	CI	341491
9688	373818	CI	54601903
9689	373853	CI	198690
9690	373854	CI	198691
9691	373858	CI	341509
9692	373859	CI	341510
9693	373860	CI	135429906
9694	373861	CI	135429907
9695	373863	CI	341514
9696	373864	CI	341515
9697	373867	CI	341518
9698	373868	CI	341519
9699	373870	CI	341521
9700	373871	CI	341522
9701	373877	CI	341527
9702	373878	CI	341528
9703	373879	CI	341529
9704	373880	CI	341530
9705	373937	CI	54688868
9706	373939	CI	54690695
9707	373941	CI	54690696
9708	373943	CI	54678493
9709	373944	CI	54685079
9710	373945	CI	54695441
9711	373946	CI	54676576
9712	373947	CI	54694535
9713	373948	CI	54693716
9714	373949	CI	54695442
9715	373950	CI	54677844
9716	373951	CI	341579
9717	373952	CI	54676523
9718	373961	CI	25074998
9719	373962	CI	54604662
9720	373963	CI	16130062
9721	373964	CI	16130063
9722	373966	CI	5385007
9723	373967	CI	341582
9724	373968	CI	341583
9725	373969	CI	341584
9726	373970	CI	100812
9727	374024	CI	341597
9728	374025	CI	nan
9729	374028	CI	435681
9730	374034	CI	341598
9731	374035	CI	341599
9732	374036	CI	3000664
9733	374037	CI	3000664
9734	374038	CI	5385009
9735	374039	CI	341603
9736	374050	CI	341613
9737	374131	CI	3000991
9738	374134	CI	8273
9739	374203	CI	135483925
9740	374204	CI	341628
9741	374206	CI	341629
9742	374207	CI	341630
9743	374208	CI	6450907
9744	374209	CI	341631
9745	374347	CI	341642
9746	374348	CI	435694
9747	374349	CI	341643
9748	374350	CI	435695
9749	374351	CI	198571
9750	374352	CI	54611236
9751	374353	CI	5921824
9752	374354	CI	341645
9753	374406	CI	22210422
9754	374413	CI	54611237
9755	374414	CI	341646
9756	374612	CI	341682
9757	374654	CI	54604670
9758	374657	CI	54607785
9759	374659	CI	54611365
9760	374661	CI	54601678
9761	374703	CI	341706
9762	374794	CI	12761102
9763	374795	CI	341715
9764	374801	CI	341717
9765	374807	CI	341718
9766	374811	CI	341722
9767	374812	CI	341723
9768	374977	CI	341749
9769	374983	CI	341750
9770	374987	CI	nan
9771	374988	CI	nan
9772	374998	CI	9574395
9773	375104	CI	341782
9774	375105	CI	341783
9775	375161	CI	54601189
9776	375162	CI	54601905
9777	375163	CI	54607888
9778	375164	CM	54598683
9779	375165	CI	135502394
9780	375166	CM	54611256
9781	375281	CM	341805
9782	375294	CI	435751
9783	375297	CI	341807
9784	375298	CI	5464878
9785	375365	CI	341811
9786	375489	CI	3413
9787	375495	CI	11979425
9788	375520	CI	163096
9789	375574	CI	128937
9790	375576	CI	100815
9791	375726	CI	5478016
9792	375959	CI	341850
9793	375962	CI	341853
9794	375966	CI	341857
9795	376144	CI	230880
9796	376248	CI	341882
9797	376252	CI	341884
9798	376253	CI	341885
9799	376254	CI	341886
9800	376266	CI	5374787
9801	376268	CI	135429908
9802	376271	CI	341898
9803	376353	CI	341910
9804	376354	CI	5385035
9805	376441	CI	6334128
9806	376442	CI	435793
9807	376443	CI	6334129
9808	376444	CI	6334130
9809	376445	CI	6334131
9810	376459	CI	341948
9811	376463	CI	135493839
9812	376464	CI	135493841
9813	376465	CI	54607911
9814	376466	CI	54604686
9815	376467	CI	9573899
9816	376484	CI	341959
9817	376546	CI	341960
9818	376728	CI	435823
9819	376759	CM	461847
9820	376760	CI	3000624
9821	376783	CI	342017
9822	376784	CI	135429909
9823	377092	CI	nan
9824	377132	CI	342054
9825	377138	CI	342060
9826	377139	CI	342061
9827	377142	CM	342064
9828	377165	CI	5385044
9829	377174	CI	342085
9830	377175	CI	342086
9831	377369	CI	342101
9832	377370	CI	342102
9833	377371	CI	342103
9834	377373	CI	135410698
9835	377375	CI	342106
9836	377521	CI	435851
9837	377528	CI	342135
9838	377607	CI	342139
9839	377608	CI	342140
9840	377716	CI	342169
9841	377717	CI	342170
9842	377718	CI	9574523
9843	377719	CI	nan
9844	377832	CI	342182
9845	377847	CI	342196
9846	377855	CI	342203
9847	377903	CI	494305
9848	377967	CI	135429910
9849	377968	CI	342210
9850	377969	CI	54611150
9851	378139	CM	16212338
9852	378145	CI	100210
9853	378146	CI	100211
9854	378151	CI	24200492
9855	378152	CI	342225
9856	378241	CI	498218
9857	378242	CI	342253
9858	378243	CI	435879
9859	378244	CI	342254
9860	378290	CI	54611170
9861	378572	CI	342283
9862	378592	CI	54600765
9863	378595	CI	342296
9864	378651	CI	342299
9865	378652	CI	342300
9866	378668	CI	435898
9867	378674	CI	342308
9868	378717	CI	6374026
9869	378718	CI	342329
9870	378719	CI	3000647
9871	378720	CI	342331
9872	378721	CI	24200499
9873	378858	CI	342348
9874	378859	CI	342349
9875	378876	CI	6366949
9876	378890	CI	342366
9877	378891	CI	342367
9878	378892	CI	342368
9879	378893	CI	5385059
9880	378897	CI	342371
9881	378898	CI	342372
9882	378899	CI	342373
9883	379099	CI	342396
9884	379113	CI	342400
9885	379298	CI	342408
9886	379314	CI	342413
9887	379316	CI	342415
9888	379413	CI	342463
9889	379426	CI	342471
9890	379441	CM	54601699
9891	379488	CI	342512
9892	379501	CI	198073
9893	379502	CM	342521
9894	379503	CI	342522
9895	379504	CI	342523
9896	379506	CI	24200524
9897	379507	CI	24200525
9898	379510	CI	342525
9899	379511	CI	342526
9900	379512	CI	342527
9901	379513	CI	342528
9902	379514	CI	342529
9903	379533	CI	72820
9904	379540	CI	342547
9905	379543	CI	342550
9906	379641	CI	342588
9907	379642	CI	342589
9908	379673	CI	342608
9909	379866	CI	342619
9910	379867	CI	342620
9911	379876	CI	342629
9912	379957	CI	435969
9913	379962	CI	12909800
9914	379963	CI	435806
9915	380093	CI	342650
9916	380094	CI	342651
9917	380095	CI	342652
9918	380109	CI	435991
9919	380202	CI	342664
9920	380204	CI	342666
9921	380205	CI	342667
9922	380271	CI	342690
9923	380272	CI	100830
9924	380273	CI	342691
9925	380274	CI	342692
9926	380276	CI	342694
9927	380277	CM	24200543
9928	380278	CI	2827564
9929	380279	CI	342695
9930	380280	CI	100831
9931	380290	CI	342702
9932	380292	CA	342704
9933	380477	CM	54607809
9934	380478	CI	54601080
9935	380479	CA	54611908
9936	380480	CI	54600784
9937	380481	CI	54611222
9938	380482	CM	54604722
9939	380489	CI	5938780
9940	380490	CI	6079005
9941	380493	CI	5932490
9942	380494	CI	342754
9943	380495	CI	342755
9944	380496	CI	342756
9945	380497	CI	342757
9946	380498	CI	342758
9947	380499	CI	342759
9948	380500	CI	342760
9949	380501	CI	342761
9950	380502	CI	342762
9951	380503	CI	457839
9952	380508	CI	6077303
9953	380509	CI	9555639
9954	380510	CI	680618
9955	380511	CI	1555904
9956	380541	CI	342788
9957	380542	CI	342789
9958	380547	CI	1555902
9959	380711	CI	5385074
9960	380714	CI	342829
9961	380720	CI	5478093
9962	380721	CI	5478094
9963	380722	CI	342834
9964	380724	CI	342836
9965	380733	CI	6078431
9966	380745	CI	342857
9967	380765	CI	342870
9968	380770	CI	342872
9969	380792	CI	342886
9970	380793	CI	342887
9971	380794	CI	342888
9972	380800	CI	342894
9973	380801	CI	342895
9974	380853	CI	342901
9975	380862	CI	342905
9976	380863	CI	342906
9977	380864	CI	342907
9978	380865	CI	342908
9979	380873	CI	342912
9980	380962	CI	5385077
9981	380963	CI	24200561
9982	381081	CI	5478099
9983	381082	CI	5478100
9984	381281	CI	5809575
9985	381429	CI	342957
9986	381468	CI	342974
9987	381469	CI	135403622
9988	381483	CI	342980
9989	381783	CI	343030
9990	381858	CI	343067
9991	381859	CI	24200570
9992	381866	CI	5385089
9993	382000	CI	13958696
9994	382001	CI	13958697
9995	382003	CI	13958692
9996	382006	CI	13958701
9997	382026	CI	343079
9998	382027	CI	343080
9999	382028	CI	343081
10000	382029	CI	5385091
10001	382030	CI	343083
10002	382059	CI	343103
10003	382060	CI	343104
10004	382098	CI	343111
10005	382100	CI	343113
10006	382101	CI	343114
10007	382102	CI	13078250
10008	382182	CI	343166
10009	382268	CI	343169
10010	382281	CI	343181
10011	382316	CM	3748773
10012	382319	CI	135502409
10013	382320	CI	343209
10014	382321	CI	343211
10015	382322	CI	343212
10016	382324	CI	343216
10017	382327	CI	343222
10018	382328	CI	343223
10019	382329	CI	343224
10020	382331	CI	9555650
10021	382377	CI	5385113
10022	382380	CI	343240
10023	382399	CI	5478117
10024	382453	CI	24200592
10025	382454	CI	343243
10026	382669	CI	343268
10027	382670	CI	343269
10028	382681	CI	343271
10029	382682	CI	343272
10030	382722	CI	135429911
10031	382730	CI	5385120
10032	382731	CI	343317
10033	382733	CI	343319
10034	382748	CI	135410743
10035	382766	CI	5351334
10036	382772	CI	343356
10037	382773	CI	343357
10038	382788	CI	343370
10039	382814	CI	343390
10040	382815	CI	343391
10041	382827	CI	343403
10042	382831	CI	343407
10043	382833	CI	343409
10044	382837	CI	343412
10045	382844	CI	343419
10046	382922	CI	343468
10047	382923	CI	135429912
10048	382929	CI	54612543
10049	382931	CI	343476
10050	382955	CI	343500
10051	382956	CI	343501
10052	382957	CI	343502
10053	382958	CI	343503
10054	382959	CI	343504
10055	382960	CI	6284066
10056	382961	CM	5929472
10057	382962	CI	5917021
10058	382963	CI	343508
10059	382975	CI	343514
10060	382976	CI	343515
10061	382980	CI	343519
10062	383031	CI	5281850
10063	383127	CM	343531
10064	383229	CI	343548
10065	383230	CI	343549
10066	383235	CI	343554
10067	383336	CI	146332
10068	383339	CI	436138
10069	383354	CI	343570
10070	383451	CI	343576
10071	400016	CI	73119
10072	400020	CM	343616
